pipeline,notebook,family,pair_key,ingredient_id,date,nome_ingrediente,categoria,unidade,qtd_pedida_no_dia_audit,comprou_no_dia_audit,preco_medio_disponivel,y_qtd_comprar,y_comprar,qtd_real_comprada,comprou_real,qtd_alvo_abt,comprar_alvo_abt,valor_real_comprado,classifier_model,regressor_model,classificador_indicou_compra,probabilidade_compra,qtd_regressor_bruta,qtd_modelo_indicada,diferenca_modelo_menos_real,diferenca_abs,valor_modelo_indicado,diferenca_valor_modelo_menos_real,diferenca_modelo_menos_alvo_abt
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0054,2026-05-07,MIX DE FRUTAS VERMELHAS,Frutas Secas e Congeladas,KG,0.0,0,38.42666666666667,3.0,1,0.0,0,3.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,3.155,3.155,3.155,3.155,121.23613333333333,121.23613333333333,0.1549999999999998
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0192,2026-04-09,EMPANAMENTO SECO,Semi-prontos e Preparados,KG,0.0,0,18.546666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.13,11.09,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0127,2026-02-18,TAHINE,Molhos e Condimentos,KG,0.0,0,66.17666666666668,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.525,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0024,2026-01-16,ÁGUA FILTRADA,Bebidas e Bases,L,7.0,1,3.486666666666667,0.0,0,7.0,1,0.0,0,24.406666666666666,Random Forest Classifier,Random Forest Regressor,0,0.04,3.915,0.0,-7.0,7.0,0.0,-24.406666666666666,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0101,2026-04-14,BETERRABA,Legumes e Verduras,KG,0.0,0,6.505,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.03,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0138,2026-05-11,GERGELIM PRETO TORRADO,Nozes e Sementes,KG,0.0,0,58.50666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,4.52,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0224,2026-01-07,CAPIM SANTO,Temperos e Especiarias,KG,0.0,0,43.82,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.07,1.93,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0218,2026-05-07,SORVETE DE CREME,Semi-prontos e Preparados,KG,0.0,0,33.276666666666664,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.01,16.195,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0092,2026-02-01,MUSSARELA,Laticínios,KG,0.0,0,52.42666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.04,6.515,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0001,2026-02-21,AÇÚCAR CRISTAL,Açúcares e Mel,KG,0.0,0,6.72,3.0,1,0.0,0,3.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.99,1.86,1.86,1.86,1.86,12.4992,12.4992,-1.14
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0108,2026-02-18,COENTRO,Legumes e Verduras,KG,0.0,0,21.54,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0168,2026-04-08,APARAS DE PÃO,Semi-prontos e Preparados,KG,0.0,0,8.270000000000001,0.5,1,0.0,0,0.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.65,0.505,0.505,0.505,0.505,4.176350000000001,4.176350000000001,0.0050000000000000044
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0074,2026-03-05,POLVILHO DOCE,"Grãos, Farinhas e Massas",KG,0.0,0,11.316666666666668,25.0,1,0.0,0,25.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,19.86,19.86,19.86,19.86,224.74900000000002,224.74900000000002,-5.140000000000001
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0004,2026-01-20,AÇÚCAR GRANULADO,Açúcares e Mel,KG,0.0,0,8.75,107.0,1,0.0,0,107.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,96.86,96.86,96.86,96.86,847.525,847.525,-10.14
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0223,2026-04-11,CANELA,Temperos e Especiarias,KG,0.0,0,89.07000000000001,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0010,2026-02-11,CAFÉ COADO,Bebidas e Bases,UND,0.0,0,4.125,404.0,1,0.0,0,404.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.98,529.51,529.51,529.51,529.51,2184.2287499999998,2184.2287499999998,125.50999999999999
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0079,2026-01-27,CREME DE LEITE FRESCO,Laticínios,L,0.0,0,38.95666666666667,33.0,1,0.0,0,33.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,30.3,30.3,30.3,30.3,1180.3870000000002,1180.3870000000002,-2.6999999999999993
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0054,2026-02-11,MIX DE FRUTAS VERMELHAS,Frutas Secas e Congeladas,KG,0.0,0,38.42666666666667,2.0,1,0.0,0,2.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,3.83,3.83,3.83,3.83,147.17413333333334,147.17413333333334,1.83
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0214,2026-03-11,PÃO CIABATTA,Semi-prontos e Preparados,UND,0.0,0,4.1850000000000005,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,47.51,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0133,2026-03-10,CASTANHA DE CAJU,Nozes e Sementes,KG,0.0,0,100.50333333333332,1.0,1,0.0,0,1.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.91,0.95,0.95,0.95,0.95,95.47816666666665,95.47816666666665,-0.050000000000000044
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0088,2026-04-15,LEITE INTEGRAL,Laticínios,L,0.0,0,7.463333333333334,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.01,31.81,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0137,2026-02-26,GERGELIM PRETO,Nozes e Sementes,KG,0.0,0,53.81333333333333,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0111,2026-05-09,MIX DE FOLHAS,Legumes e Verduras,KG,0.0,0,37.23,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,1.955,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0016,2026-03-02,ESSÊNCIA DE BAUNILHA,Bebidas e Bases,L,0.0,0,97.16666666666669,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,5.96,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0026,2026-04-11,BRIGADEIRO MOLE,Chocolates e Cacau,KG,0.0,0,43.25666666666666,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0222,2026-01-22,ALHO,Temperos e Especiarias,KG,0.0,0,24.686666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,1.195,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0160,2026-02-13,FILÉ DE PEITO DE FRANGO,Proteínas,KG,0.0,0,32.14,18.0,1,0.0,0,18.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.89,22.7,22.7,22.7,22.7,729.578,729.578,4.699999999999999
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0117,2026-04-09,SALSINHA,Legumes e Verduras,KG,0.0,0,23.965,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0094,2026-02-03,QUEIJO BOURSIN,Laticínios,KG,0.0,0,133.28,3.5,1,0.0,0,3.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,4.44,4.44,4.44,4.44,591.7632000000001,591.7632000000001,0.9400000000000004
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0131,2026-02-12,AMENDOIM TORRADO SEM SAL,Nozes e Sementes,KG,0.0,0,39.89666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,1.745,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0061,2026-01-02,AVEIA EM FLOCOS,"Grãos, Farinhas e Massas",KG,0.0,0,14.523333333333332,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.02,2.37,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0226,2026-01-08,FLOR DE SAL,Temperos e Especiarias,KG,0.0,0,112.94333333333331,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0067,2026-03-06,FARINHA PANKO,"Grãos, Farinhas e Massas",KG,0.0,0,22.65,0.5,1,0.0,0,0.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.62,0.545,0.545,0.545,0.545,12.34425,12.34425,0.04500000000000004
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0237,2026-03-14,PÁPRICA PICANTE,Temperos e Especiarias,KG,0.0,0,68.76666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.555,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0113,2026-04-08,REPOLHO BRANCO,Legumes e Verduras,KG,0.0,0,5.91,0.5,1,0.0,0,0.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,0.5,0.5,0.5,0.5,2.955,2.955,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0240,2026-01-28,AZEITE DE OLIVA,Óleos e Gorduras,L,0.0,0,42.335,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0117,2026-05-06,SALSINHA,Legumes e Verduras,KG,0.0,0,23.965,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.565,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0019,2026-02-22,GUARNIÇÃO CAPIM SANTO E LIMÃO,Bebidas e Bases,UND,0.0,0,1.8966666666666665,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.01,146.565,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0090,2026-03-03,MANTEIGA DE GARRAFA,Laticínios,KG,0.0,0,70.07333333333334,3.5,1,0.0,0,3.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,4.41,4.41,4.41,4.41,309.02340000000004,309.02340000000004,0.9100000000000001
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0094,2026-01-22,QUEIJO BOURSIN,Laticínios,KG,0.0,0,133.28,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,1.385,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0183,2026-04-24,CHIPS DE PARMESÃO,Semi-prontos e Preparados,KG,0.0,0,114.06333333333332,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,1.49,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0054,2026-02-23,MIX DE FRUTAS VERMELHAS,Frutas Secas e Congeladas,KG,0.0,0,38.42666666666667,4.5,1,0.0,0,4.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,3.13,3.13,3.13,3.13,120.27546666666667,120.27546666666667,-1.37
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0178,2026-01-28,BOLINHA DE RICOTA MARINADA,Semi-prontos e Preparados,UND,0.0,0,33.0,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.02,106.385,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0147,2026-05-03,SEMENTE DE COENTRO,Nozes e Sementes,KG,0.0,0,23.10333333333333,0.5,1,0.0,0,0.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.99,0.5,0.5,0.5,0.5,11.551666666666666,11.551666666666666,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0074,2026-03-03,POLVILHO DOCE,"Grãos, Farinhas e Massas",KG,0.0,0,11.316666666666668,27.0,1,0.0,0,27.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,19.955,19.955,19.955,19.955,225.82408333333333,225.82408333333333,-7.045000000000002
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0096,2026-04-07,REQUEIJÃO,Laticínios,KG,6.5,1,39.22666666666667,0.5,1,6.5,1,0.5,1,254.97333333333333,Random Forest Classifier,Random Forest Regressor,1,0.56,2.25,2.25,-4.25,4.25,88.26,-166.7133333333333,1.75
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0044,2026-01-17,SUMO DE LIMÃO,Frutas Frescas,L,0.0,0,11.266666666666666,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.01,0.52,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0167,2026-05-04,TOFU FIRME,Proteínas,KG,0.0,0,32.965,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,14.37,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0202,2026-02-10,MERENGUE,Semi-prontos e Preparados,KG,0.0,0,36.88,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.01,10.125,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0056,2026-01-03,POLPA DE AÇAÍ,Frutas Secas e Congeladas,KG,0.0,0,22.2,30.0,1,0.0,0,30.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.99,27.475,27.475,27.475,27.475,609.945,609.945,-2.5249999999999986
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0070,2026-02-05,LINGUINE,"Grãos, Farinhas e Massas",KG,0.0,0,16.41,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,11.28,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0061,2026-03-04,AVEIA EM FLOCOS,"Grãos, Farinhas e Massas",KG,0.0,0,14.523333333333332,11.5,1,0.0,0,11.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,14.31,14.31,14.31,14.31,207.82889999999998,207.82889999999998,2.8100000000000005
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0139,2026-03-10,MIX DE GERGELIM,Nozes e Sementes,KG,0.0,0,57.74666666666667,11.5,1,0.0,0,11.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,11.615,11.615,11.615,11.615,670.7275333333333,670.7275333333333,0.11500000000000021
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0070,2026-05-16,LINGUINE,"Grãos, Farinhas e Massas",KG,0.0,0,16.41,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,1,0.6,15.35,15.35,15.35,15.35,251.8935,251.8935,15.35
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0099,2026-03-27,BATATA DOCE,Legumes e Verduras,KG,0.0,0,7.76,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.01,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0111,2026-01-10,MIX DE FOLHAS,Legumes e Verduras,KG,0.0,0,37.23,3.5,1,0.0,0,3.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,6.145,6.145,6.145,6.145,228.77834999999996,228.77834999999996,2.6449999999999996
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0040,2026-04-27,MORANGO,Frutas Frescas,KG,0.0,0,22.63,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,3.99,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0034,2026-03-09,BANANA PRATA,Frutas Frescas,KG,0.0,0,8.766666666666667,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.3,1.19,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0093,2026-04-30,PARMESÃO,Laticínios,KG,0.0,0,112.78000000000002,11.5,1,0.0,0,11.5,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,21.805,21.805,21.805,21.805,2459.1679000000004,2459.1679000000004,10.305
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0136,2026-01-09,GERGELIM BRANCO,Nozes e Sementes,KG,0.0,0,46.79333333333333,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.565,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0238,2026-04-14,SAL DE COZINHA,Temperos e Especiarias,KG,0.0,0,4.66,8.0,1,0.0,0,8.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,0.71,16.42,16.42,16.42,16.42,76.51720000000002,76.51720000000002,8.420000000000002
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0232,2026-01-24,PASTA DE GOCHUJANG,Temperos e Especiarias,KG,0.0,0,84.235,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.09,2.675,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0010,2026-01-02,CAFÉ COADO,Bebidas e Bases,UND,292.0,1,4.125,0.0,0,292.0,1,0.0,0,1204.5,Random Forest Classifier,Random Forest Regressor,0,0.14,81.195,0.0,-292.0,292.0,0.0,-1204.5,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0068,2026-01-10,FERMENTO BIOLÓGICO SECO,"Grãos, Farinhas e Massas",KG,0.0,0,59.88999999999999,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0064,2026-05-19,FARELO DE AVEIA,"Grãos, Farinhas e Massas",KG,0.0,0,13.51,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.08,0.84,0.0,0.0,0.0,0.0,0.0,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0083,2026-02-27,GORGONZOLA,Laticínios,KG,1.27,1,97.41,0.0,0,1.27,1,0.0,0,123.7107,Random Forest Classifier,Random Forest Regressor,0,0.02,1.855,0.0,-1.27,1.27,0.0,-123.7107,0.0
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0064,2026-05-01,FARELO DE AVEIA,"Grãos, Farinhas e Massas",KG,0.0,0,13.51,3.0,1,0.0,0,3.0,1,0.0,Random Forest Classifier,Random Forest Regressor,1,1.0,1.92,1.92,1.92,1.92,25.9392,25.9392,-1.08
Arvores - Random Forest,03_tree_ensembles,Arvores,random_forest,ING0004,2026-01-02,AÇÚCAR GRANULADO,Açúcares e Mel,KG,0.0,0,8.75,0.0,0,0.0,0,0.0,0,0.0,Random Forest Classifier,Random Forest Regressor,0,0.1,13.63,0.0,0.0,0.0,0.0,0.0,0.0
