id,supplier_id,ingredient_id,qty,valor,data_pedido,status,data_prevista
PED000000000043,FOR0014,ING0199,1.78,29.24,2023-01-02,entregue,2023-01-05
PED000000000044,FOR0025,ING0223,2.0,191.37,2023-01-02,entregue,2023-01-09
PED000000000045,FOR0024,ING0225,2.0,590.19,2023-01-02,entregue,2023-01-06
PED000000000046,FOR0025,ING0226,1.5,206.26,2023-01-02,entregue,2023-01-07
PED000000000047,FOR0025,ING0227,1.5,41.22,2023-01-02,entregue,2023-01-06
PED000000000048,FOR0025,ING0229,1.45,128.64,2023-01-02,entregue,2023-01-06
PED000000000049,FOR0025,ING0233,2.5,131.51,2023-01-02,entregue,2023-01-06
PED000000000050,FOR0024,ING0235,1.5,125.74,2023-01-02,entregue,2023-01-06
PED000000000051,FOR0024,ING0237,1.54,104.2,2023-01-02,entregue,2023-01-06
PED000000000052,FOR0025,ING0239,2.0,120.3,2023-01-02,entregue,2023-01-06
PED000000000053,FOR0025,ING0241,2.34,48.57,2023-01-02,entregue,2023-01-06
PED000000000054,FOR0025,ING0244,2.5,26.89,2023-01-02,entregue,2023-01-06
PED000000000055,FOR0001,ING0001,2.5,16.8,2023-01-03,entregue,2023-01-06
PED000000000056,FOR0022,ING0005,2.0,37.0,2023-01-03,entregue,2023-01-06
PED000000000057,FOR0022,ING0009,4.5,145.93,2023-01-03,entregue,2023-01-06
PED000000000058,FOR0025,ING0011,1.5,182.28,2023-01-03,entregue,2023-01-06
PED000000000059,FOR0011,ING0016,1.5,125.57,2023-01-03,entregue,2023-01-06
PED000000000060,FOR0021,ING0031,2.0,171.87,2023-01-03,entregue,2023-01-07
PED000000000061,FOR0023,ING0036,2.0,33.69,2023-01-03,entregue,2023-01-04
PED000000000062,FOR0007,ING0046,1.0,7.44,2023-01-03,entregue,2023-01-05
PED000000000063,FOR0018,ING0050,1.0,81.06,2023-01-03,entregue,2023-01-05
PED000000000064,FOR0003,ING0051,2.0,157.46,2023-01-03,entregue,2023-01-05
PED000000000065,FOR0013,ING0053,2.28,214.85,2023-01-03,entregue,2023-01-07
PED000000000066,FOR0018,ING0054,1.0,40.3,2023-01-03,entregue,2023-01-05
PED000000000067,FOR0018,ING0055,2.0,93.56,2023-01-03,entregue,2023-01-08
PED000000000068,FOR0003,ING0058,3.0,142.61,2023-01-03,entregue,2023-01-07
PED000000000069,FOR0025,ING0064,2.0,25.9,2023-01-03,entregue,2023-01-07
PED000000000070,FOR0025,ING0065,2.0,38.22,2023-01-03,entregue,2023-01-07
PED000000000071,FOR0005,ING0067,1.5,32.36,2023-01-03,entregue,2023-01-07
PED000000000072,FOR0016,ING0068,1.5,92.89,2023-01-03,entregue,2023-01-07
PED000000000073,FOR0005,ING0072,1.5,35.84,2023-01-03,entregue,2023-01-08
PED000000000074,FOR0025,ING0073,1.5,17.95,2023-01-03,entregue,2023-01-07
PED000000000075,FOR0005,ING0074,4.41,40.51,2023-01-03,entregue,2023-01-07
PED000000000076,FOR0019,ING0085,2.0,71.74,2023-01-03,entregue,2023-01-05
PED000000000077,FOR0004,ING0097,1.5,41.09,2023-01-03,entregue,2023-01-05
PED000000000078,FOR0025,ING0125,3.39,167.94,2023-01-03,entregue,2023-01-07
PED000000000079,FOR0025,ING0127,3.0,242.39,2023-01-03,entregue,2023-01-07
PED000000000080,FOR0025,ING0130,1.5,50.3,2023-01-03,entregue,2023-01-07
PED000000000081,FOR0025,ING0133,2.0,186.31,2023-01-03,entregue,2023-01-08
PED000000000082,FOR0016,ING0134,2.0,270.31,2023-01-03,entregue,2023-01-07
PED000000000083,FOR0016,ING0135,1.5,116.58,2023-01-03,entregue,2023-01-07
PED000000000084,FOR0016,ING0137,1.5,87.82,2023-01-03,entregue,2023-01-07
PED000000000085,FOR0025,ING0138,2.0,121.99,2023-01-03,entregue,2023-01-07
PED000000000086,FOR0025,ING0145,2.0,92.1,2023-01-03,entregue,2023-01-07
PED000000000087,FOR0016,ING0146,3.5,139.77,2023-01-03,entregue,2023-01-07
PED000000000088,FOR0025,ING0147,1.5,32.85,2023-01-03,entregue,2023-01-07
PED000000000089,FOR0016,ING0148,2.91,95.59,2023-01-03,entregue,2023-01-07
PED000000000090,FOR0016,ING0149,2.0,118.67,2023-01-03,entregue,2023-01-07
PED000000000091,FOR0025,ING0150,2.5,67.95,2023-01-03,entregue,2023-01-06
PED000000000092,FOR0025,ING0151,2.5,172.24,2023-01-03,entregue,2023-01-06
PED000000000093,FOR0025,ING0156,1.5,109.68,2023-01-03,entregue,2023-01-06
PED000000000094,FOR0018,ING0168,3.5,32.72,2023-01-03,entregue,2023-01-06
PED000000000095,FOR0018,ING0199,1.5,31.81,2023-01-03,entregue,2023-01-06
PED000000000096,FOR0009,ING0223,2.27,210.78,2023-01-03,entregue,2023-01-07
PED000000000097,FOR0024,ING0225,2.0,632.7,2023-01-03,entregue,2023-01-07
PED000000000098,FOR0025,ING0226,1.5,194.16,2023-01-03,entregue,2023-01-07
PED000000000099,FOR0025,ING0227,1.5,31.09,2023-01-03,entregue,2023-01-07
PED000000000100,FOR0025,ING0229,1.5,140.1,2023-01-03,entregue,2023-01-07
PED000000000101,FOR0025,ING0233,2.5,124.74,2023-01-03,entregue,2023-01-07
PED000000000102,FOR0024,ING0235,1.5,104.8,2023-01-03,entregue,2023-01-07
PED000000000103,FOR0024,ING0237,1.76,135.28,2023-01-03,entregue,2023-01-07
PED000000000104,FOR0025,ING0239,2.0,113.69,2023-01-03,entregue,2023-01-07
PED000000000105,FOR0010,ING0241,2.0,38.77,2023-01-03,entregue,2023-01-07
PED000000000106,FOR0025,ING0244,2.5,27.35,2023-01-03,entregue,2023-01-07
PED000000000107,FOR0001,ING0001,2.44,14.38,2023-01-04,entregue,2023-01-07
PED000000000108,FOR0022,ING0003,3.0,36.65,2023-01-04,entregue,2023-01-07
PED000000000109,FOR0001,ING0005,2.0,31.36,2023-01-04,entregue,2023-01-07
PED000000000110,FOR0001,ING0009,4.5,136.76,2023-01-04,entregue,2023-01-07
PED000000000111,FOR0011,ING0011,1.5,181.8,2023-01-04,entregue,2023-01-15
PED000000000112,FOR0011,ING0016,1.52,163.49,2023-01-04,entregue,2023-01-07
PED000000000113,FOR0011,ING0024,8.5,26.76,2023-01-04,entregue,2023-01-07
PED000000000114,FOR0021,ING0031,2.0,190.52,2023-01-04,entregue,2023-01-08
PED000000000115,FOR0023,ING0034,3.0,32.95,2023-01-04,entregue,2023-01-05
PED000000000116,FOR0023,ING0046,1.0,6.85,2023-01-04,entregue,2023-01-05
PED000000000117,FOR0023,ING0047,1.5,28.17,2023-01-04,entregue,2023-01-05
PED000000000118,FOR0003,ING0050,1.0,77.54,2023-01-04,entregue,2023-01-06
PED000000000119,FOR0003,ING0053,2.0,164.45,2023-01-04,entregue,2023-01-06
PED000000000120,FOR0016,ING0064,2.0,25.94,2023-01-04,entregue,2023-01-08
PED000000000121,FOR0025,ING0065,2.0,38.16,2023-01-04,entregue,2023-01-19
PED000000000122,FOR0025,ING0067,1.5,40.24,2023-01-04,entregue,2023-01-08
PED000000000123,FOR0025,ING0068,2.0,118.17,2023-01-04,entregue,2023-01-08
PED000000000124,FOR0025,ING0072,1.5,42.14,2023-01-04,entregue,2023-01-08
PED000000000125,FOR0025,ING0073,1.5,20.23,2023-01-04,entregue,2023-01-08
PED000000000126,FOR0016,ING0074,4.0,43.47,2023-01-04,entregue,2023-01-08
PED000000000127,FOR0007,ING0101,0.9,5.27,2023-01-04,entregue,2023-01-05
PED000000000128,FOR0009,ING0125,4.0,160.0,2023-01-04,entregue,2023-01-08
PED000000000129,FOR0025,ING0127,3.0,198.9,2023-01-04,entregue,2023-01-08
PED000000000130,FOR0006,ING0130,1.5,51.09,2023-01-04,entregue,2023-01-08
PED000000000131,FOR0006,ING0133,2.0,197.01,2023-01-04,entregue,2023-01-08
PED000000000132,FOR0006,ING0134,2.0,205.19,2023-01-04,entregue,2023-01-08
PED000000000133,FOR0025,ING0135,1.46,122.44,2023-01-04,entregue,2023-01-08
PED000000000134,FOR0025,ING0137,1.71,94.65,2023-01-04,entregue,2023-01-09
PED000000000135,FOR0016,ING0138,2.0,109.42,2023-01-04,entregue,2023-01-08
PED000000000136,FOR0025,ING0145,2.0,83.27,2023-01-04,entregue,2023-01-08
PED000000000137,FOR0025,ING0146,3.37,132.56,2023-01-04,entregue,2023-01-08
PED000000000138,FOR0025,ING0147,1.5,41.07,2023-01-04,entregue,2023-01-08
PED000000000139,FOR0025,ING0148,2.5,87.71,2023-01-04,entregue,2023-01-08
PED000000000140,FOR0025,ING0149,2.0,107.49,2023-01-04,entregue,2023-01-08
PED000000000141,FOR0008,ING0150,2.5,59.62,2023-01-04,entregue,2023-01-07
PED000000000142,FOR0025,ING0151,2.5,183.07,2023-01-04,entregue,2023-01-11
PED000000000143,FOR0025,ING0156,1.5,113.44,2023-01-04,entregue,2023-01-07
PED000000000144,FOR0018,ING0168,3.5,32.97,2023-01-04,entregue,2023-01-07
PED000000000145,FOR0018,ING0199,2.0,39.55,2023-01-04,entregue,2023-01-08
PED000000000146,FOR0025,ING0223,2.15,214.04,2023-01-04,entregue,2023-01-08
PED000000000147,FOR0024,ING0225,2.0,746.57,2023-01-04,entregue,2023-01-08
PED000000000148,FOR0025,ING0226,1.5,204.15,2023-01-04,entregue,2023-01-08
PED000000000149,FOR0025,ING0227,1.5,36.22,2023-01-04,entregue,2023-01-08
PED000000000150,FOR0025,ING0229,1.5,165.1,2023-01-04,entregue,2023-01-08
PED000000000151,FOR0025,ING0233,2.5,126.87,2023-01-04,entregue,2023-01-08
PED000000000152,FOR0009,ING0235,1.5,107.47,2023-01-04,entregue,2023-01-08
PED000000000153,FOR0025,ING0237,1.5,105.54,2023-01-04,entregue,2023-01-08
PED000000000154,FOR0024,ING0239,2.0,138.06,2023-01-04,entregue,2023-01-08
PED000000000155,FOR0025,ING0241,2.0,51.86,2023-01-04,entregue,2023-01-08
PED000000000156,FOR0025,ING0244,2.5,26.16,2023-01-04,entregue,2023-01-08
PED000000000157,FOR0001,ING0003,3.41,36.4,2023-01-05,entregue,2023-01-09
PED000000000158,FOR0021,ING0031,2.5,206.72,2023-01-05,entregue,2023-01-09
PED000000000159,FOR0025,ING0064,2.0,28.8,2023-01-05,entregue,2023-01-09
PED000000000160,FOR0025,ING0065,1.8,36.5,2023-01-05,entregue,2023-01-20
PED000000000161,FOR0005,ING0067,1.5,27.58,2023-01-05,entregue,2023-01-09
PED000000000162,FOR0005,ING0068,2.26,112.38,2023-01-05,entregue,2023-01-11
PED000000000163,FOR0005,ING0072,1.5,35.56,2023-01-05,entregue,2023-01-10
PED000000000164,FOR0025,ING0073,1.5,19.21,2023-01-05,entregue,2023-01-09
PED000000000165,FOR0012,ING0125,4.0,201.13,2023-01-05,entregue,2023-01-09
PED000000000166,FOR0025,ING0127,3.0,226.79,2023-01-05,entregue,2023-01-10
PED000000000167,FOR0025,ING0130,1.5,50.75,2023-01-05,entregue,2023-01-09
PED000000000168,FOR0025,ING0133,2.0,227.87,2023-01-05,entregue,2023-01-09
PED000000000169,FOR0016,ING0134,1.66,214.56,2023-01-05,entregue,2023-01-09
PED000000000170,FOR0025,ING0135,1.5,119.35,2023-01-05,entregue,2023-01-12
PED000000000171,FOR0016,ING0137,1.37,80.91,2023-01-05,entregue,2023-01-09
PED000000000172,FOR0025,ING0138,1.89,104.07,2023-01-05,entregue,2023-01-09
PED000000000173,FOR0006,ING0145,2.0,78.15,2023-01-05,entregue,2023-01-09
PED000000000174,FOR0016,ING0146,3.5,160.56,2023-01-05,entregue,2023-01-09
PED000000000175,FOR0016,ING0147,1.5,35.36,2023-01-05,entregue,2023-01-10
PED000000000176,FOR0025,ING0148,2.5,95.37,2023-01-05,entregue,2023-01-09
PED000000000177,FOR0016,ING0149,2.0,111.32,2023-01-05,entregue,2023-01-09
PED000000000178,FOR0024,ING0223,2.0,171.09,2023-01-05,entregue,2023-01-09
PED000000000179,FOR0025,ING0225,2.0,681.49,2023-01-05,entregue,2023-01-10
PED000000000180,FOR0024,ING0226,1.5,193.46,2023-01-05,entregue,2023-01-09
PED000000000181,FOR0009,ING0227,1.43,33.81,2023-01-05,entregue,2023-01-09
PED000000000182,FOR0024,ING0229,1.27,128.1,2023-01-05,entregue,2023-01-09
PED000000000183,FOR0025,ING0233,2.78,165.06,2023-01-05,entregue,2023-01-09
PED000000000184,FOR0024,ING0235,1.5,118.26,2023-01-05,entregue,2023-01-09
PED000000000185,FOR0025,ING0237,1.5,122.94,2023-01-05,entregue,2023-01-12
PED000000000186,FOR0025,ING0239,2.0,109.57,2023-01-05,entregue,2023-01-09
PED000000000187,FOR0010,ING0241,2.0,45.98,2023-01-05,entregue,2023-01-09
PED000000000188,FOR0025,ING0244,2.5,24.3,2023-01-05,entregue,2023-01-16
PED000000000189,FOR0001,ING0003,3.5,41.82,2023-01-06,entregue,2023-01-09
PED000000000190,FOR0015,ING0007,1.0,32.98,2023-01-06,entregue,2023-01-09
PED000000000191,FOR0020,ING0011,0.5,63.97,2023-01-06,entregue,2023-01-19
PED000000000192,FOR0025,ING0016,0.44,49.27,2023-01-06,entregue,2023-01-16
PED000000000193,FOR0011,ING0019,649.09,858.0,2023-01-06,entregue,2023-01-09
PED000000000194,FOR0020,ING0024,11.5,38.49,2023-01-06,entregue,2023-01-09
PED000000000195,FOR0021,ING0027,0.5,39.22,2023-01-06,entregue,2023-01-10
PED000000000196,FOR0021,ING0028,8.27,774.8,2023-01-06,entregue,2023-01-10
PED000000000197,FOR0002,ING0031,2.0,176.27,2023-01-06,entregue,2023-01-12
PED000000000198,FOR0007,ING0036,1.59,26.24,2023-01-06,entregue,2023-01-08
PED000000000199,FOR0007,ING0037,1.63,12.36,2023-01-06,entregue,2023-01-07
PED000000000200,FOR0003,ING0039,1.0,39.04,2023-01-06,entregue,2023-01-09
PED000000000201,FOR0003,ING0041,2.0,56.18,2023-01-06,entregue,2023-01-07
PED000000000202,FOR0003,ING0044,1.5,18.6,2023-01-06,entregue,2023-01-07
PED000000000203,FOR0007,ING0045,16.0,235.66,2023-01-06,entregue,2023-01-09
PED000000000204,FOR0003,ING0046,0.5,2.88,2023-01-06,entregue,2023-01-09
PED000000000205,FOR0003,ING0047,1.0,18.82,2023-01-06,entregue,2023-01-07
PED000000000206,FOR0013,ING0048,6.0,109.62,2023-01-06,entregue,2023-01-08
PED000000000207,FOR0013,ING0049,0.53,8.78,2023-01-06,entregue,2023-01-09
PED000000000208,FOR0013,ING0050,0.5,32.15,2023-01-06,entregue,2023-01-08
PED000000000209,FOR0018,ING0054,0.5,21.82,2023-01-06,entregue,2023-01-08
PED000000000210,FOR0013,ING0055,0.5,18.7,2023-01-06,entregue,2023-01-13
PED000000000211,FOR0013,ING0058,1.3,52.71,2023-01-06,entregue,2023-01-10
PED000000000212,FOR0005,ING0061,3.0,43.89,2023-01-06,entregue,2023-01-10
PED000000000213,FOR0016,ING0064,1.0,13.34,2023-01-06,entregue,2023-01-10
PED000000000214,FOR0016,ING0065,2.0,33.09,2023-01-06,entregue,2023-01-21
PED000000000215,FOR0016,ING0067,1.0,24.8,2023-01-06,entregue,2023-01-10
PED000000000216,FOR0025,ING0068,1.0,67.67,2023-01-06,entregue,2023-01-10
PED000000000217,FOR0016,ING0072,1.0,20.92,2023-01-06,entregue,2023-01-10
PED000000000218,FOR0005,ING0073,1.5,17.56,2023-01-06,entregue,2023-01-10
PED000000000219,FOR0004,ING0079,31.72,1215.18,2023-01-06,entregue,2023-01-08
PED000000000220,FOR0004,ING0097,0.5,17.55,2023-01-06,entregue,2023-01-13
PED000000000221,FOR0007,ING0098,0.55,5.06,2023-01-06,entregue,2023-01-07
PED000000000222,FOR0007,ING0099,2.5,22.11,2023-01-06,entregue,2023-01-07
PED000000000223,FOR0023,ING0100,1.5,13.44,2023-01-06,entregue,2023-01-07
PED000000000224,FOR0023,ING0101,0.5,3.14,2023-01-06,entregue,2023-01-07
PED000000000225,FOR0023,ING0103,0.5,3.45,2023-01-06,entregue,2023-01-10
PED000000000226,FOR0007,ING0105,0.5,14.32,2023-01-06,entregue,2023-01-07
PED000000000227,FOR0023,ING0108,1.5,29.46,2023-01-06,entregue,2023-01-07
PED000000000228,FOR0007,ING0109,2.5,42.84,2023-01-06,entregue,2023-01-08
PED000000000229,FOR0023,ING0112,1.06,13.35,2023-01-06,entregue,2023-01-07
PED000000000230,FOR0007,ING0113,2.0,13.75,2023-01-06,entregue,2023-01-07
PED000000000231,FOR0023,ING0114,1.5,11.06,2023-01-06,entregue,2023-01-07
PED000000000232,FOR0023,ING0116,1.5,33.24,2023-01-06,entregue,2023-01-09
PED000000000233,FOR0023,ING0117,1.0,26.26,2023-01-06,entregue,2023-01-07
PED000000000234,FOR0025,ING0124,0.5,39.76,2023-01-06,entregue,2023-01-10
PED000000000235,FOR0012,ING0125,2.0,92.65,2023-01-06,entregue,2023-01-10
PED000000000236,FOR0009,ING0126,13.0,425.77,2023-01-06,entregue,2023-01-16
PED000000000237,FOR0025,ING0127,1.5,100.72,2023-01-06,entregue,2023-01-10
PED000000000238,FOR0012,ING0128,1.5,53.7,2023-01-06,entregue,2023-01-10
PED000000000239,FOR0016,ING0130,0.5,16.52,2023-01-06,entregue,2023-01-10
PED000000000240,FOR0006,ING0132,14.81,1332.72,2023-01-06,entregue,2023-01-11
PED000000000241,FOR0025,ING0133,2.0,192.89,2023-01-06,entregue,2023-01-13
PED000000000242,FOR0016,ING0134,0.86,115.34,2023-01-06,entregue,2023-01-10
PED000000000243,FOR0006,ING0135,0.5,39.36,2023-01-06,entregue,2023-01-10
PED000000000244,FOR0006,ING0137,1.0,45.42,2023-01-06,entregue,2023-01-16
PED000000000245,FOR0016,ING0138,2.0,125.02,2023-01-06,entregue,2023-01-10
PED000000000246,FOR0016,ING0139,7.0,384.6,2023-01-06,entregue,2023-01-10
PED000000000247,FOR0006,ING0145,1.0,45.4,2023-01-06,entregue,2023-01-10
PED000000000248,FOR0006,ING0146,3.5,134.14,2023-01-06,entregue,2023-01-10
PED000000000249,FOR0016,ING0147,0.5,11.48,2023-01-06,entregue,2023-01-10
PED000000000250,FOR0006,ING0148,2.5,83.62,2023-01-06,entregue,2023-01-10
PED000000000251,FOR0016,ING0149,1.0,44.46,2023-01-06,entregue,2023-01-10
PED000000000252,FOR0025,ING0152,0.5,27.26,2023-01-06,entregue,2023-01-09
PED000000000253,FOR0008,ING0156,0.5,39.51,2023-01-06,entregue,2023-01-09
PED000000000254,FOR0008,ING0157,4.5,699.81,2023-01-06,entregue,2023-01-10
PED000000000255,FOR0025,ING0165,1.0,254.0,2023-01-06,entregue,2023-01-09
PED000000000256,FOR0025,ING0166,0.51,68.07,2023-01-06,entregue,2023-01-13
PED000000000257,FOR0014,ING0174,13.24,264.47,2023-01-06,entregue,2023-01-10
PED000000000258,FOR0025,ING0178,3.09,95.11,2023-01-06,entregue,2023-01-09
PED000000000259,FOR0018,ING0191,18.5,445.17,2023-01-06,entregue,2023-01-09
PED000000000260,FOR0014,ING0199,0.5,10.26,2023-01-06,entregue,2023-01-09
PED000000000261,FOR0025,ING0206,54.0,898.7,2023-01-06,entregue,2023-01-09
PED000000000262,FOR0024,ING0223,2.0,158.73,2023-01-06,entregue,2023-01-10
PED000000000263,FOR0024,ING0225,1.0,349.52,2023-01-06,entregue,2023-01-10
PED000000000264,FOR0009,ING0226,1.4,146.1,2023-01-06,entregue,2023-01-10
PED000000000265,FOR0025,ING0227,1.0,22.41,2023-01-06,entregue,2023-01-10
PED000000000266,FOR0024,ING0228,1.5,507.47,2023-01-06,entregue,2023-01-12
PED000000000267,FOR0009,ING0229,1.0,92.7,2023-01-06,entregue,2023-01-10
PED000000000268,FOR0009,ING0230,43.8,1009.48,2023-01-06,entregue,2023-01-13
PED000000000269,FOR0009,ING0231,0.5,13.68,2023-01-06,entregue,2023-01-10
PED000000000270,FOR0009,ING0232,4.5,395.0,2023-01-06,entregue,2023-01-14
PED000000000271,FOR0009,ING0233,1.0,56.67,2023-01-06,entregue,2023-01-10
PED000000000272,FOR0009,ING0235,1.0,64.87,2023-01-06,entregue,2023-01-10
PED000000000273,FOR0024,ING0237,0.5,29.83,2023-01-06,entregue,2023-01-10
PED000000000274,FOR0009,ING0238,3.5,14.23,2023-01-06,entregue,2023-01-10
PED000000000275,FOR0009,ING0239,1.06,62.5,2023-01-06,entregue,2023-01-10
PED000000000276,FOR0010,ING0240,1.0,41.84,2023-01-06,entregue,2023-01-11
PED000000000277,FOR0010,ING0241,1.1,22.81,2023-01-06,entregue,2023-01-10
PED000000000278,FOR0025,ING0243,1.0,89.34,2023-01-06,entregue,2023-01-10
PED000000000279,FOR0025,ING0244,1.0,11.25,2023-01-06,entregue,2023-01-15
PED000000000280,FOR0002,ING0028,14.49,1061.44,2023-01-09,entregue,2023-01-13
PED000000000281,FOR0025,ING0061,20.36,281.36,2023-01-09,entregue,2023-01-16
PED000000000282,FOR0012,ING0126,19.5,515.42,2023-01-09,entregue,2023-01-18
PED000000000283,FOR0012,ING0128,5.5,190.39,2023-01-09,entregue,2023-01-13
PED000000000284,FOR0016,ING0139,12.0,635.25,2023-01-09,entregue,2023-01-13
PED000000000285,FOR0008,ING0157,8.66,1503.93,2023-01-09,entregue,2023-01-13
PED000000000286,FOR0025,ING0160,3.71,114.0,2023-01-09,entregue,2023-01-12
PED000000000287,FOR0014,ING0174,32.5,527.52,2023-01-09,entregue,2023-01-12
PED000000000288,FOR0018,ING0181,3.0,133.91,2023-01-09,entregue,2023-01-12
PED000000000289,FOR0018,ING0218,105.0,3501.4,2023-01-09,entregue,2023-01-12
PED000000000290,FOR0024,ING0230,49.84,1141.19,2023-01-09,entregue,2023-01-13
PED000000000291,FOR0024,ING0232,10.0,916.48,2023-01-09,entregue,2023-01-15
PED000000000292,FOR0025,ING0238,9.0,54.21,2023-01-09,entregue,2023-01-13
PED000000000293,FOR0025,ING0243,2.0,210.61,2023-01-09,entregue,2023-01-22
PED000000000294,FOR0012,ING0126,20.0,602.91,2023-01-10,entregue,2023-01-14
PED000000000295,FOR0012,ING0128,5.0,161.22,2023-01-10,entregue,2023-01-14
PED000000000296,FOR0008,ING0160,3.76,112.36,2023-01-10,entregue,2023-01-13
PED000000000297,FOR0018,ING0181,4.5,193.01,2023-01-10,entregue,2023-01-13
PED000000000298,FOR0018,ING0191,30.88,582.26,2023-01-10,entregue,2023-01-13
PED000000000299,FOR0025,ING0218,120.5,4580.16,2023-01-10,entregue,2023-01-13
PED000000000300,FOR0025,ING0230,62.01,2000.37,2023-01-10,entregue,2023-01-14
PED000000000301,FOR0009,ING0232,9.0,783.24,2023-01-10,entregue,2023-01-16
PED000000000302,FOR0001,ING0002,5.0,61.41,2023-01-11,entregue,2023-01-14
PED000000000303,FOR0001,ING0008,17.5,1867.43,2023-01-11,entregue,2023-01-14
PED000000000304,FOR0003,ING0049,19.5,426.51,2023-01-11,entregue,2023-01-13
PED000000000305,FOR0007,ING0098,1.5,11.91,2023-01-11,entregue,2023-01-12
PED000000000306,FOR0009,ING0126,19.5,652.87,2023-01-11,entregue,2023-01-16
PED000000000307,FOR0012,ING0128,5.5,206.98,2023-01-11,entregue,2023-01-15
PED000000000308,FOR0025,ING0136,2.0,97.17,2023-01-11,entregue,2023-01-24
PED000000000309,FOR0025,ING0157,9.76,1431.55,2023-01-11,entregue,2023-01-15
PED000000000310,FOR0025,ING0160,5.54,200.38,2023-01-11,entregue,2023-01-16
PED000000000311,FOR0018,ING0174,21.5,493.9,2023-01-11,entregue,2023-01-14
PED000000000312,FOR0014,ING0181,4.11,145.48,2023-01-11,entregue,2023-01-14
PED000000000313,FOR0018,ING0191,33.0,672.9,2023-01-11,entregue,2023-01-14
PED000000000314,FOR0018,ING0218,106.0,3272.36,2023-01-11,entregue,2023-01-14
PED000000000315,FOR0025,ING0230,53.0,1351.06,2023-01-11,entregue,2023-01-15
PED000000000316,FOR0024,ING0232,9.5,745.07,2023-01-11,entregue,2023-01-17
