id,ingrediente,qtd,data
CUR0057,ING0057,22.0,2026-05-20
CUR0058,ING0058,6.8,2026-05-20
CUR0059,ING0059,1.44,2026-05-20
CUR0060,ING0060,2.64,2026-05-20
CUR0061,ING0061,7.68,2026-05-20
CUR0062,ING0062,6.96,2026-05-20
CUR0063,ING0063,3.92,2026-05-20
CUR0064,ING0064,8.88,2026-05-20
CUR0065,ING0065,5.04,2026-05-20
CUR0066,ING0066,9.28,2026-05-20
CUR0067,ING0067,6.0,2026-05-20
CUR0068,ING0068,7.6,2026-05-20
CUR0069,ING0069,7.92,2026-05-20
CUR0070,ING0070,6.0,2026-05-20
CUR0071,ING0071,2.0,2026-05-20
CUR0072,ING0072,11.76,2026-05-20
CUR0073,ING0073,3.04,2026-05-20
CUR0074,ING0074,2.4,2026-05-20
CUR0075,ING0075,6.96,2026-05-20
CUR0076,ING0076,15.44,2026-05-20
CUR0077,ING0077,6.96,2026-05-20
CUR0078,ING0078,6.9,2026-05-20
CUR0079,ING0079,18.0,2026-05-20
CUR0080,ING0080,0.08,2026-05-20
CUR0081,ING0081,1.76,2026-05-20
CUR0082,ING0082,2.72,2026-05-20
CUR0083,ING0083,2.88,2026-05-20
CUR0084,ING0084,4.96,2026-05-20
CUR0085,ING0085,10.92,2026-05-20
CUR0086,ING0086,5.68,2026-05-20
CUR0087,ING0087,6.88,2026-05-20
CUR0088,ING0088,12.78,2026-05-20
CUR0089,ING0089,22.08,2026-05-20
CUR0090,ING0090,15.84,2026-05-20
CUR0091,ING0091,8.88,2026-05-20
CUR0092,ING0092,18.88,2026-05-20
CUR0093,ING0093,0.24,2026-05-20
CUR0094,ING0094,3.36,2026-05-20
CUR0095,ING0095,10.72,2026-05-20
CUR0096,ING0096,0.64,2026-05-20
CUR0097,ING0097,2.32,2026-05-20
CUR0098,ING0098,7.44,2026-05-20
CUR0099,ING0099,8.16,2026-05-20
CUR0100,ING0100,0.96,2026-05-20
CUR0101,ING0101,1.76,2026-05-20
CUR0102,ING0102,2.0,2026-05-20
CUR0103,ING0103,1.59,2026-05-20
CUR0104,ING0104,4.08,2026-05-20
CUR0105,ING0105,2.16,2026-05-20
CUR0106,ING0106,5.52,2026-05-20
CUR0107,ING0107,2.43,2026-05-20
CUR0108,ING0108,8.16,2026-05-20
CUR0109,ING0109,1.44,2026-05-20
CUR0110,ING0110,3.68,2026-05-20
CUR0111,ING0111,0.64,2026-05-20
CUR0112,ING0112,2.4,2026-05-20
CUR0113,ING0113,6.88,2026-05-20
CUR0114,ING0114,0.32,2026-05-20
CUR0115,ING0115,2.72,2026-05-20
CUR0116,ING0116,1.92,2026-05-20
CUR0117,ING0117,6.96,2026-05-20
CUR0118,ING0118,7.12,2026-05-20
CUR0119,ING0119,19.52,2026-05-20
CUR0120,ING0120,17.36,2026-05-20
CUR0121,ING0121,1.36,2026-05-20
CUR0122,ING0122,0.72,2026-05-20
CUR0123,ING0123,4.4,2026-05-20
CUR0124,ING0124,9.44,2026-05-20
CUR0125,ING0125,5.22,2026-05-20
CUR0126,ING0126,6.78,2026-05-20
CUR0127,ING0127,0.24,2026-05-20
CUR0128,ING0128,8.4,2026-05-20
CUR0129,ING0129,10.72,2026-05-20
CUR0130,ING0130,17.6,2026-05-20
CUR0131,ING0131,5.04,2026-05-20
CUR0132,ING0132,6.08,2026-05-20
CUR0133,ING0133,13.44,2026-05-20
CUR0134,ING0134,0.16,2026-05-20
CUR0135,ING0135,24.64,2026-05-20
CUR0136,ING0136,1.2,2026-05-20
CUR0137,ING0137,3.6,2026-05-20
CUR0138,ING0138,2.64,2026-05-20
CUR0139,ING0139,2.08,2026-05-20
CUR0140,ING0140,3.92,2026-05-20
CUR0141,ING0141,7.76,2026-05-20
CUR0142,ING0142,3.12,2026-05-20
CUR0143,ING0143,2.08,2026-05-20
CUR0144,ING0144,12.08,2026-05-20
CUR0145,ING0145,5.68,2026-05-20
CUR0146,ING0146,9.0,2026-05-20
CUR0147,ING0147,12.0,2026-05-20
CUR0148,ING0148,14.64,2026-05-20
CUR0149,ING0149,0.64,2026-05-20
CUR0150,ING0150,10.8,2026-05-20
CUR0151,ING0151,2.4,2026-05-20
CUR0152,ING0152,6.48,2026-05-20
CUR0153,ING0153,9.44,2026-05-20
CUR0154,ING0154,5.44,2026-05-20
CUR0155,ING0155,4.08,2026-05-20
CUR0156,ING0156,15.84,2026-05-20
CUR0157,ING0157,1.28,2026-05-20
CUR0158,ING0158,76.0,2026-05-20
CUR0159,ING0159,41.0,2026-05-20
CUR0160,ING0160,4.88,2026-05-20
CUR0161,ING0161,10.8,2026-05-20
CUR0162,ING0162,54.0,2026-05-20
CUR0163,ING0163,127.0,2026-05-20
CUR0164,ING0164,2.24,2026-05-20
CUR0165,ING0165,1.12,2026-05-20
CUR0166,ING0166,7.92,2026-05-20
CUR0167,ING0167,1.12,2026-05-20
CUR0168,ING0168,7.92,2026-05-20
CUR0169,ING0169,2.4,2026-05-20
CUR0170,ING0170,3.68,2026-05-20
CUR0171,ING0171,4.96,2026-05-20
CUR0172,ING0172,10.72,2026-05-20
CUR0173,ING0173,1.6,2026-05-20
CUR0174,ING0174,6.8,2026-05-20
CUR0175,ING0175,5.04,2026-05-20
CUR0176,ING0176,60.0,2026-05-20
CUR0177,ING0177,23.0,2026-05-20
CUR0178,ING0178,20.0,2026-05-20
CUR0179,ING0179,87.0,2026-05-20
CUR0180,ING0180,39.0,2026-05-20
CUR0181,ING0181,4.96,2026-05-20
CUR0182,ING0182,3.36,2026-05-20
CUR0183,ING0183,1.28,2026-05-20
CUR0184,ING0184,3.12,2026-05-20
CUR0185,ING0185,17.0,2026-05-20
CUR0186,ING0186,16.56,2026-05-20
CUR0187,ING0187,0.96,2026-05-20
CUR0188,ING0188,22.0,2026-05-20
CUR0189,ING0189,3.04,2026-05-20
CUR0190,ING0190,5.84,2026-05-20
CUR0191,ING0191,13.92,2026-05-20
CUR0192,ING0192,3.12,2026-05-20
CUR0193,ING0193,3.28,2026-05-20
CUR0194,ING0194,0.08,2026-05-20
CUR0195,ING0195,11.28,2026-05-20
CUR0196,ING0196,14.48,2026-05-20
CUR0197,ING0197,5.16,2026-05-20
CUR0198,ING0198,13.6,2026-05-20
CUR0199,ING0199,3.04,2026-05-20
CUR0200,ING0200,3.68,2026-05-20
CUR0201,ING0201,1.12,2026-05-20
CUR0202,ING0202,2.16,2026-05-20
CUR0203,ING0203,0.72,2026-05-20
CUR0204,ING0204,2.16,2026-05-20
CUR0205,ING0205,6.96,2026-05-20
CUR0206,ING0206,4.56,2026-05-20
CUR0207,ING0207,7.44,2026-05-20
CUR0208,ING0208,15.0,2026-05-20
CUR0209,ING0209,6.0,2026-05-20
CUR0210,ING0210,15.0,2026-05-20
CUR0211,ING0211,90.0,2026-05-20
CUR0212,ING0212,39.0,2026-05-20
CUR0213,ING0213,14.56,2026-05-20
CUR0214,ING0214,79.0,2026-05-20
CUR0215,ING0215,2.4,2026-05-20
CUR0216,ING0216,7.0,2026-05-20
CUR0217,ING0217,9.84,2026-05-20
CUR0218,ING0218,5.6,2026-05-20
CUR0219,ING0219,0.72,2026-05-20
CUR0220,ING0220,11.76,2026-05-20
CUR0221,ING0221,7.52,2026-05-20
CUR0222,ING0222,7.44,2026-05-20
CUR0223,ING0223,11.52,2026-05-20
CUR0224,ING0224,6.16,2026-05-20
CUR0225,ING0225,1.36,2026-05-20
CUR0226,ING0226,12.0,2026-05-20
CUR0227,ING0227,11.32,2026-05-20
CUR0228,ING0228,2.64,2026-05-20
CUR0229,ING0229,6.16,2026-05-20
CUR0230,ING0230,9.36,2026-05-20
CUR0231,ING0231,0.72,2026-05-20
CUR0232,ING0232,7.52,2026-05-20
CUR0233,ING0233,6.8,2026-05-20
CUR0234,ING0234,6.8,2026-05-20
CUR0235,ING0235,1.12,2026-05-20
CUR0236,ING0236,1.76,2026-05-20
CUR0237,ING0237,13.28,2026-05-20
CUR0238,ING0238,8.4,2026-05-20
CUR0239,ING0239,2.72,2026-05-20
CUR0240,ING0240,7.06,2026-05-20
CUR0241,ING0241,2.08,2026-05-20
CUR0242,ING0242,5.4,2026-05-20
CUR0243,ING0243,7.12,2026-05-20
CUR0244,ING0244,4.5,2026-05-20
