id,date_time,ingredient_id,quantity
EST000000142,2023-01-01 20:00:00,ING0142,105.0
EST000000143,2023-01-01 20:00:00,ING0143,19.69
EST000000144,2023-01-01 20:00:00,ING0144,47.97
EST000000145,2023-01-01 20:00:00,ING0145,0.25
EST000000146,2023-01-01 20:00:00,ING0146,0.75
EST000000147,2023-01-01 20:00:00,ING0147,0.25
EST000000148,2023-01-01 20:00:00,ING0148,0.25
EST000000149,2023-01-01 20:00:00,ING0149,0.25
EST000000150,2023-01-01 20:00:00,ING0150,0.25
EST000000151,2023-01-01 20:00:00,ING0151,0.25
EST000000152,2023-01-01 20:00:00,ING0152,6.98
EST000000153,2023-01-01 20:00:00,ING0153,0.25
EST000000154,2023-01-01 20:00:00,ING0154,52.65
EST000000155,2023-01-01 20:00:00,ING0155,37.5
EST000000156,2023-01-01 20:00:00,ING0156,0.25
EST000000157,2023-01-01 20:00:00,ING0157,0.4
EST000000158,2023-01-01 20:00:00,ING0158,0.0
EST000000159,2023-01-01 20:00:00,ING0159,2437.0
EST000000160,2023-01-01 20:00:00,ING0160,12.15
EST000000161,2023-01-01 20:00:00,ING0161,0.1
EST000000162,2023-01-01 20:00:00,ING0162,0.0
EST000000163,2023-01-01 20:00:00,ING0163,3696.0
EST000000164,2023-01-01 20:00:00,ING0164,13.5
EST000000165,2023-01-01 20:00:00,ING0165,10.12
EST000000166,2023-01-01 20:00:00,ING0166,10.2
EST000000167,2023-01-01 20:00:00,ING0167,213.75
EST000000168,2023-01-01 20:00:00,ING0168,0.25
EST000000169,2023-01-01 20:00:00,ING0169,19.13
EST000000170,2023-01-01 20:00:00,ING0170,37.12
EST000000171,2023-01-01 20:00:00,ING0171,101.25
EST000000172,2023-01-01 20:00:00,ING0172,13.95
EST000000173,2023-01-01 20:00:00,ING0173,35.1
EST000000174,2023-01-01 20:00:00,ING0174,54.0
EST000000175,2023-01-01 20:00:00,ING0175,67.5
EST000000176,2023-01-01 20:00:00,ING0176,180.0
EST000000177,2023-01-01 20:00:00,ING0177,1012.0
EST000000178,2023-01-01 20:00:00,ING0178,844.0
EST000000179,2023-01-01 20:00:00,ING0179,158.0
EST000000180,2023-01-01 20:00:00,ING0180,450.0
EST000000181,2023-01-01 20:00:00,ING0181,10.12
EST000000182,2023-01-01 20:00:00,ING0182,48.71
EST000000183,2023-01-01 20:00:00,ING0183,4.95
EST000000184,2023-01-01 20:00:00,ING0184,11.59
EST000000185,2023-01-01 20:00:00,ING0185,731.0
EST000000186,2023-01-01 20:00:00,ING0186,24.98
EST000000187,2023-01-01 20:00:00,ING0187,8.44
EST000000188,2023-01-01 20:00:00,ING0188,0.0
EST000000189,2023-01-01 20:00:00,ING0189,5.4
EST000000190,2023-01-01 20:00:00,ING0190,33.75
EST000000191,2023-01-01 20:00:00,ING0191,106.88
EST000000192,2023-01-01 20:00:00,ING0192,285.0
EST000000193,2023-01-01 20:00:00,ING0193,9.52
EST000000194,2023-01-01 20:00:00,ING0194,2.03
EST000000195,2023-01-01 20:00:00,ING0195,2.25
EST000000196,2023-01-01 20:00:00,ING0196,32.15
EST000000197,2023-01-01 20:00:00,ING0197,236.25
EST000000198,2023-01-01 20:00:00,ING0198,16.2
EST000000199,2023-01-01 20:00:00,ING0199,0.25
EST000000200,2023-01-01 20:00:00,ING0200,19.38
EST000000201,2023-01-01 20:00:00,ING0201,0.25
EST000000202,2023-01-01 20:00:00,ING0202,0.8
EST000000203,2023-01-01 20:00:00,ING0203,0.18
EST000000204,2023-01-01 20:00:00,ING0204,9.0
EST000000205,2023-01-01 20:00:00,ING0205,4.5
EST000000206,2023-01-01 20:00:00,ING0206,283.5
EST000000207,2023-01-01 20:00:00,ING0207,30.0
EST000000208,2023-01-01 20:00:00,ING0208,450.0
EST000000209,2023-01-01 20:00:00,ING0209,0.0
EST000000210,2023-01-01 20:00:00,ING0210,169.0
EST000000211,2023-01-01 20:00:00,ING0211,225.0
EST000000212,2023-01-01 20:00:00,ING0212,1.0
EST000000213,2023-01-01 20:00:00,ING0213,14.81
EST000000214,2023-01-01 20:00:00,ING0214,416.0
EST000000215,2023-01-01 20:00:00,ING0215,551.22
EST000000216,2023-01-01 20:00:00,ING0216,292.0
EST000000217,2023-01-01 20:00:00,ING0217,47.25
EST000000218,2023-01-01 20:00:00,ING0218,179.35
EST000000219,2023-01-01 20:00:00,ING0219,41.63
EST000000220,2023-01-01 20:00:00,ING0220,16.88
EST000000221,2023-01-01 20:00:00,ING0221,33.75
EST000000222,2023-01-01 20:00:00,ING0222,7.58
EST000000223,2023-01-01 20:00:00,ING0223,0.25
EST000000224,2023-01-01 20:00:00,ING0224,33.0
EST000000225,2023-01-01 20:00:00,ING0225,0.25
EST000000226,2023-01-01 20:00:00,ING0226,0.25
EST000000227,2023-01-01 20:00:00,ING0227,0.25
EST000000228,2023-01-01 20:00:00,ING0228,4.05
EST000000229,2023-01-01 20:00:00,ING0229,0.0
EST000000230,2023-01-01 20:00:00,ING0230,77.51
EST000000231,2023-01-01 20:00:00,ING0231,5.18
EST000000232,2023-01-01 20:00:00,ING0232,21.38
EST000000233,2023-01-01 20:00:00,ING0233,0.25
EST000000234,2023-01-01 20:00:00,ING0234,1.69
EST000000235,2023-01-01 20:00:00,ING0235,0.25
EST000000236,2023-01-01 20:00:00,ING0236,337.5
EST000000237,2023-01-01 20:00:00,ING0237,0.25
EST000000238,2023-01-01 20:00:00,ING0238,24.52
EST000000239,2023-01-01 20:00:00,ING0239,0.75
EST000000240,2023-01-01 20:00:00,ING0240,10.46
EST000000241,2023-01-01 20:00:00,ING0241,0.0
EST000000242,2023-01-01 20:00:00,ING0242,294.84
EST000000243,2023-01-01 20:00:00,ING0243,5.62
EST000000244,2023-01-01 20:00:00,ING0244,0.25
EST000000245,2023-01-02 20:00:00,ING0001,0.25
EST000000246,2023-01-02 20:00:00,ING0002,25.65
EST000000247,2023-01-02 20:00:00,ING0003,9.0
EST000000248,2023-01-02 20:00:00,ING0004,155.25
EST000000249,2023-01-02 20:00:00,ING0005,0.25
EST000000250,2023-01-02 20:00:00,ING0006,225.22
EST000000251,2023-01-02 20:00:00,ING0007,0.02
EST000000252,2023-01-02 20:00:00,ING0008,38.52
EST000000253,2023-01-02 20:00:00,ING0009,0.25
EST000000254,2023-01-02 20:00:00,ING0010,956.0
EST000000255,2023-01-02 20:00:00,ING0011,0.25
EST000000256,2023-01-02 20:00:00,ING0012,20.32
EST000000257,2023-01-02 20:00:00,ING0013,9.22
EST000000258,2023-01-02 20:00:00,ING0014,10.69
EST000000259,2023-01-02 20:00:00,ING0015,906.0
EST000000260,2023-01-02 20:00:00,ING0016,0.25
EST000000261,2023-01-02 20:00:00,ING0017,0.25
EST000000262,2023-01-02 20:00:00,ING0018,203.17
EST000000263,2023-01-02 20:00:00,ING0019,821.0
EST000000264,2023-01-02 20:00:00,ING0020,10.69
EST000000265,2023-01-02 20:00:00,ING0021,19.58
EST000000266,2023-01-02 20:00:00,ING0022,16.88
EST000000267,2023-01-02 20:00:00,ING0023,821.0
EST000000268,2023-01-02 20:00:00,ING0024,85.68
EST000000269,2023-01-02 20:00:00,ING0025,0.4
EST000000270,2023-01-02 20:00:00,ING0026,0.07
EST000000271,2023-01-02 20:00:00,ING0027,32.4
EST000000272,2023-01-02 20:00:00,ING0028,59.26
EST000000273,2023-01-02 20:00:00,ING0029,20.25
EST000000274,2023-01-02 20:00:00,ING0030,28.35
EST000000275,2023-01-02 20:00:00,ING0031,0.75
EST000000276,2023-01-02 20:00:00,ING0032,123.05
EST000000277,2023-01-02 20:00:00,ING0033,26.1
EST000000278,2023-01-02 20:00:00,ING0034,5.4
EST000000279,2023-01-02 20:00:00,ING0035,6.75
EST000000280,2023-01-02 20:00:00,ING0036,0.25
EST000000281,2023-01-02 20:00:00,ING0037,6.75
EST000000282,2023-01-02 20:00:00,ING0038,9.0
EST000000283,2023-01-02 20:00:00,ING0039,0.25
EST000000284,2023-01-02 20:00:00,ING0040,14.51
EST000000285,2023-01-02 20:00:00,ING0041,0.25
EST000000286,2023-01-02 20:00:00,ING0042,2.03
EST000000287,2023-01-02 20:00:00,ING0043,98.55
EST000000288,2023-01-02 20:00:00,ING0044,0.75
EST000000289,2023-01-02 20:00:00,ING0045,109.35
EST000000290,2023-01-02 20:00:00,ING0046,0.25
EST000000291,2023-01-02 20:00:00,ING0047,0.25
EST000000292,2023-01-02 20:00:00,ING0048,18.68
EST000000293,2023-01-02 20:00:00,ING0049,53.32
EST000000294,2023-01-02 20:00:00,ING0050,0.25
EST000000295,2023-01-02 20:00:00,ING0051,0.25
EST000000296,2023-01-02 20:00:00,ING0052,66.38
EST000000297,2023-01-02 20:00:00,ING0053,0.25
EST000000298,2023-01-02 20:00:00,ING0054,0.75
EST000000299,2023-01-02 20:00:00,ING0055,0.25
EST000000300,2023-01-02 20:00:00,ING0056,45.0
EST000000301,2023-01-02 20:00:00,ING0057,720.0
EST000000302,2023-01-02 20:00:00,ING0058,0.25
EST000000303,2023-01-02 20:00:00,ING0059,6.08
EST000000304,2023-01-02 20:00:00,ING0060,60.75
EST000000305,2023-01-02 20:00:00,ING0061,13.49
EST000000306,2023-01-02 20:00:00,ING0062,13.5
EST000000307,2023-01-02 20:00:00,ING0063,0.29
EST000000308,2023-01-02 20:00:00,ING0064,0.25
EST000000309,2023-01-02 20:00:00,ING0065,0.25
EST000000310,2023-01-02 20:00:00,ING0066,284.54
EST000000311,2023-01-02 20:00:00,ING0067,0.25
EST000000312,2023-01-02 20:00:00,ING0068,0.0
EST000000313,2023-01-02 20:00:00,ING0069,132.96
EST000000314,2023-01-02 20:00:00,ING0070,69.75
EST000000315,2023-01-02 20:00:00,ING0071,62.44
EST000000316,2023-01-02 20:00:00,ING0072,0.25
EST000000317,2023-01-02 20:00:00,ING0073,0.25
EST000000318,2023-01-02 20:00:00,ING0074,0.0
EST000000319,2023-01-02 20:00:00,ING0075,0.04
EST000000320,2023-01-02 20:00:00,ING0076,135.0
EST000000321,2023-01-02 20:00:00,ING0077,13.5
EST000000322,2023-01-02 20:00:00,ING0078,0.11
EST000000323,2023-01-02 20:00:00,ING0079,82.18
EST000000324,2023-01-02 20:00:00,ING0080,11.48
EST000000325,2023-01-02 20:00:00,ING0081,72.0
EST000000326,2023-01-02 20:00:00,ING0082,41.52
EST000000327,2023-01-02 20:00:00,ING0083,8.44
EST000000328,2023-01-02 20:00:00,ING0084,116.1
EST000000329,2023-01-02 20:00:00,ING0085,0.25
EST000000330,2023-01-02 20:00:00,ING0086,684.0
EST000000331,2023-01-02 20:00:00,ING0087,9.0
EST000000332,2023-01-02 20:00:00,ING0088,172.1
EST000000333,2023-01-02 20:00:00,ING0089,192.0
EST000000334,2023-01-02 20:00:00,ING0090,0.06
EST000000335,2023-01-02 20:00:00,ING0091,15.52
EST000000336,2023-01-02 20:00:00,ING0092,53.84
EST000000337,2023-01-02 20:00:00,ING0093,0.1
EST000000338,2023-01-02 20:00:00,ING0094,9.45
EST000000339,2023-01-02 20:00:00,ING0095,40.12
EST000000340,2023-01-02 20:00:00,ING0096,10.46
EST000000341,2023-01-02 20:00:00,ING0097,0.0
EST000000342,2023-01-02 20:00:00,ING0098,0.25
EST000000343,2023-01-02 20:00:00,ING0099,0.25
EST000000344,2023-01-02 20:00:00,ING0100,0.25
EST000000345,2023-01-02 20:00:00,ING0101,0.0
EST000000346,2023-01-02 20:00:00,ING0102,0.02
EST000000347,2023-01-02 20:00:00,ING0103,0.25
EST000000348,2023-01-02 20:00:00,ING0104,0.06
EST000000349,2023-01-02 20:00:00,ING0105,5.62
EST000000350,2023-01-02 20:00:00,ING0106,7.76
EST000000351,2023-01-02 20:00:00,ING0107,6.08
EST000000352,2023-01-02 20:00:00,ING0108,0.25
EST000000353,2023-01-02 20:00:00,ING0109,0.0
EST000000354,2023-01-02 20:00:00,ING0110,16.2
EST000000355,2023-01-02 20:00:00,ING0111,20.25
EST000000356,2023-01-02 20:00:00,ING0112,0.25
EST000000357,2023-01-02 20:00:00,ING0113,0.25
EST000000358,2023-01-02 20:00:00,ING0114,0.75
EST000000359,2023-01-02 20:00:00,ING0115,6.08
EST000000360,2023-01-02 20:00:00,ING0116,0.02
EST000000361,2023-01-02 20:00:00,ING0117,0.25
EST000000362,2023-01-02 20:00:00,ING0118,0.25
EST000000363,2023-01-02 20:00:00,ING0119,9.18
EST000000364,2023-01-02 20:00:00,ING0120,53.78
EST000000365,2023-01-02 20:00:00,ING0121,8.1
EST000000366,2023-01-02 20:00:00,ING0122,225.36
EST000000367,2023-01-02 20:00:00,ING0123,17.89
EST000000368,2023-01-02 20:00:00,ING0124,4.05
EST000000369,2023-01-02 20:00:00,ING0125,0.75
EST000000370,2023-01-02 20:00:00,ING0126,42.19
EST000000371,2023-01-02 20:00:00,ING0127,0.25
EST000000372,2023-01-02 20:00:00,ING0128,21.38
EST000000373,2023-01-02 20:00:00,ING0129,7.76
EST000000374,2023-01-02 20:00:00,ING0130,0.25
EST000000375,2023-01-02 20:00:00,ING0131,16.2
EST000000376,2023-01-02 20:00:00,ING0132,30.24
EST000000377,2023-01-02 20:00:00,ING0133,0.75
EST000000378,2023-01-02 20:00:00,ING0134,0.0
EST000000379,2023-01-02 20:00:00,ING0135,0.0
EST000000380,2023-01-02 20:00:00,ING0136,0.25
EST000000381,2023-01-02 20:00:00,ING0137,0.25
EST000000382,2023-01-02 20:00:00,ING0138,0.25
EST000000383,2023-01-02 20:00:00,ING0139,21.38
EST000000384,2023-01-02 20:00:00,ING0140,3.15
EST000000385,2023-01-02 20:00:00,ING0141,0.0
EST000000386,2023-01-02 20:00:00,ING0142,39.38
EST000000387,2023-01-02 20:00:00,ING0143,0.12
EST000000388,2023-01-02 20:00:00,ING0144,17.99
EST000000389,2023-01-02 20:00:00,ING0145,0.25
EST000000390,2023-01-02 20:00:00,ING0146,0.25
EST000000391,2023-01-02 20:00:00,ING0147,0.75
EST000000392,2023-01-02 20:00:00,ING0148,0.0
EST000000393,2023-01-02 20:00:00,ING0149,0.25
EST000000394,2023-01-02 20:00:00,ING0150,0.75
EST000000395,2023-01-02 20:00:00,ING0151,0.25
EST000000396,2023-01-02 20:00:00,ING0152,18.6
EST000000397,2023-01-02 20:00:00,ING0153,0.25
EST000000398,2023-01-02 20:00:00,ING0154,0.38
EST000000399,2023-01-02 20:00:00,ING0155,14.06
EST000000400,2023-01-02 20:00:00,ING0156,0.25
EST000000401,2023-01-02 20:00:00,ING0157,112.5
EST000000402,2023-01-02 20:00:00,ING0158,382.0
EST000000403,2023-01-02 20:00:00,ING0159,2437.0
EST000000404,2023-01-02 20:00:00,ING0160,12.15
EST000000405,2023-01-02 20:00:00,ING0161,36.0
EST000000406,2023-01-02 20:00:00,ING0162,562.0
EST000000407,2023-01-02 20:00:00,ING0163,3696.0
EST000000408,2023-01-02 20:00:00,ING0164,13.5
EST000000409,2023-01-02 20:00:00,ING0165,27.0
EST000000410,2023-01-02 20:00:00,ING0166,10.2
EST000000411,2023-01-02 20:00:00,ING0167,1.6
EST000000412,2023-01-02 20:00:00,ING0168,0.25
EST000000413,2023-01-02 20:00:00,ING0169,0.12
EST000000414,2023-01-02 20:00:00,ING0170,0.24
EST000000415,2023-01-02 20:00:00,ING0171,270.0
EST000000416,2023-01-02 20:00:00,ING0172,13.95
EST000000417,2023-01-02 20:00:00,ING0173,35.1
EST000000418,2023-01-02 20:00:00,ING0174,54.0
EST000000419,2023-01-02 20:00:00,ING0175,67.5
EST000000420,2023-01-02 20:00:00,ING0176,180.0
EST000000421,2023-01-02 20:00:00,ING0177,2700.0
EST000000422,2023-01-02 20:00:00,ING0178,844.0
EST000000423,2023-01-02 20:00:00,ING0179,0.0
EST000000424,2023-01-02 20:00:00,ING0180,0.0
EST000000425,2023-01-02 20:00:00,ING0181,0.07
EST000000426,2023-01-02 20:00:00,ING0182,48.71
EST000000427,2023-01-02 20:00:00,ING0183,0.03
EST000000428,2023-01-02 20:00:00,ING0184,11.59
EST000000429,2023-01-02 20:00:00,ING0185,731.0
EST000000430,2023-01-02 20:00:00,ING0186,24.98
EST000000431,2023-01-02 20:00:00,ING0187,8.44
EST000000432,2023-01-02 20:00:00,ING0188,202.0
EST000000433,2023-01-02 20:00:00,ING0189,5.4
EST000000434,2023-01-02 20:00:00,ING0190,33.75
EST000000435,2023-01-02 20:00:00,ING0191,106.88
EST000000436,2023-01-02 20:00:00,ING0192,0.8
EST000000437,2023-01-02 20:00:00,ING0193,9.52
EST000000438,2023-01-02 20:00:00,ING0194,0.02
EST000000439,2023-01-02 20:00:00,ING0195,2.25
EST000000440,2023-01-02 20:00:00,ING0196,32.15
EST000000441,2023-01-02 20:00:00,ING0197,1.68
EST000000442,2023-01-02 20:00:00,ING0198,43.2
EST000000443,2023-01-02 20:00:00,ING0199,0.25
EST000000444,2023-01-02 20:00:00,ING0200,19.38
EST000000445,2023-01-02 20:00:00,ING0201,0.75
EST000000446,2023-01-02 20:00:00,ING0202,101.25
EST000000447,2023-01-02 20:00:00,ING0203,23.62
EST000000448,2023-01-02 20:00:00,ING0204,0.02
EST000000449,2023-01-02 20:00:00,ING0205,4.5
EST000000450,2023-01-02 20:00:00,ING0206,283.5
EST000000451,2023-01-02 20:00:00,ING0207,11.25
EST000000452,2023-01-02 20:00:00,ING0208,450.0
EST000000453,2023-01-02 20:00:00,ING0209,450.0
EST000000454,2023-01-02 20:00:00,ING0210,169.0
EST000000455,2023-01-02 20:00:00,ING0211,225.0
EST000000456,2023-01-02 20:00:00,ING0212,0.0
EST000000457,2023-01-02 20:00:00,ING0213,39.48
EST000000458,2023-01-02 20:00:00,ING0214,416.0
EST000000459,2023-01-02 20:00:00,ING0215,206.71
EST000000460,2023-01-02 20:00:00,ING0216,0.0
EST000000461,2023-01-02 20:00:00,ING0217,47.25
EST000000462,2023-01-02 20:00:00,ING0218,179.35
EST000000463,2023-01-02 20:00:00,ING0219,0.3
EST000000464,2023-01-02 20:00:00,ING0220,16.88
EST000000465,2023-01-02 20:00:00,ING0221,33.75
EST000000466,2023-01-02 20:00:00,ING0222,7.58
EST000000467,2023-01-02 20:00:00,ING0223,0.25
EST000000468,2023-01-02 20:00:00,ING0224,12.38
EST000000469,2023-01-02 20:00:00,ING0225,0.0
EST000000470,2023-01-02 20:00:00,ING0226,0.0
EST000000471,2023-01-02 20:00:00,ING0227,0.25
EST000000472,2023-01-02 20:00:00,ING0228,4.05
EST000000473,2023-01-02 20:00:00,ING0229,0.25
EST000000474,2023-01-02 20:00:00,ING0230,0.48
EST000000475,2023-01-02 20:00:00,ING0231,5.18
EST000000476,2023-01-02 20:00:00,ING0232,57.0
EST000000477,2023-01-02 20:00:00,ING0233,0.25
EST000000478,2023-01-02 20:00:00,ING0234,1.69
EST000000479,2023-01-02 20:00:00,ING0235,0.25
EST000000480,2023-01-02 20:00:00,ING0236,900.0
EST000000481,2023-01-02 20:00:00,ING0237,0.25
EST000000482,2023-01-02 20:00:00,ING0238,24.52
EST000000483,2023-01-02 20:00:00,ING0239,0.25
EST000000484,2023-01-02 20:00:00,ING0240,0.07
EST000000485,2023-01-02 20:00:00,ING0241,0.0
EST000000486,2023-01-02 20:00:00,ING0242,110.57
EST000000487,2023-01-02 20:00:00,ING0243,5.62
EST000000488,2023-01-02 20:00:00,ING0244,0.25
EST000000489,2023-01-03 20:00:00,ING0001,0.75
EST000000490,2023-01-03 20:00:00,ING0002,25.65
EST000000491,2023-01-03 20:00:00,ING0003,9.0
EST000000492,2023-01-03 20:00:00,ING0004,414.0
EST000000493,2023-01-03 20:00:00,ING0005,0.0
EST000000494,2023-01-03 20:00:00,ING0006,1.64
EST000000495,2023-01-03 20:00:00,ING0007,10.2
EST000000496,2023-01-03 20:00:00,ING0008,38.52
EST000000497,2023-01-03 20:00:00,ING0009,0.75
EST000000498,2023-01-03 20:00:00,ING0010,956.0
